City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,chaplygin,53.2432,39.9629,17.3,50,25,0.5,RU,1745434099
115,kitimat,54.0524,-128.6534,9.95,70,100,0.45,CA,1745434095
116,ola,59.5833,151.2833,-1.23,83,100,3.17,RU,1745433933
117,reggane,26.7158,0.1714,31.57,8,100,4.71,DZ,1745434103
118,odda,60.0691,6.5457,7.72,88,100,0.24,NO,1745434104
119,caceres,39.522,-6.3748,17.06,62,5,0.29,ES,1745434000
120,wolgast,54.05,13.7667,11.59,100,20,2.89,DE,1745433879
121,keflavik,64.0049,-22.5624,7.24,65,75,9.26,IS,1745434107
122,banda aceh,5.5577,95.3222,26.81,75,100,5.04,ID,1745434108
123,wailua homesteads,22.0669,-159.378,25.44,93,40,8.23,US,1745434110
124,jamestown,42.097,-79.2353,21.98,39,100,4.12,US,1745434112
125,georgetown,5.4112,100.3354,26.96,87,20,2.06,MY,1745433917
126,hamilton,39.1834,-84.5333,26.56,34,0,1.79,US,1745433834
127,coahuayana de hidalgo,18.7,-103.6583,32.64,41,9,3.63,MX,1745434116
128,port alfred,-33.5906,26.891,17.32,96,82,1.34,ZA,1745434015
129,berdigestyakh,62.0989,126.6992,-2.38,98,100,1.73,RU,1745434118
130,nantucket,41.2835,-70.0995,16.06,39,0,3.09,US,1745434119
131,selfoss,63.9331,-20.9971,7.04,59,100,4.74,IS,1745434120
132,fort st. john,56.2499,-120.8529,8.94,43,40,2.06,CA,1745433891
133,urengoy,65.9667,78.3667,-11.12,94,100,6.22,RU,1745434122
134,iskateley,67.6803,53.1512,-2.92,88,100,6.05,RU,1745434124
135,bengkulu,-3.8004,102.2655,24.21,89,92,1.78,ID,1745434126
136,nakamura,32.9833,132.9333,13.81,95,41,1.86,JP,1745434127
137,jumla,29.2747,82.1838,8.41,34,0,2.3,NP,1745434128
138,bilibino,68.0546,166.4372,-14.41,89,74,2.47,RU,1745434129
139,saint-leu,-21.15,55.2833,25.48,79,17,3.0,RE,1745434130
140,kingston,17.997,-76.7936,30.53,58,20,3.09,JM,1745433856
141,bubaque,11.2833,-15.8333,24.83,78,3,6.63,GW,1745434133
